;time_start;time_reading;co2;tvoc;pm1_0;pm2_5;pm10;temperature;humidity
124;1692966297,500781;0,039871;634;0,01;5;6;6;24,8;57,0
125;1692966297,601068;0,035565;634;0,01;5;6;6;24,8;57,0
126;1692966297,70141;0,046407;634;0,01;5;6;6;24,8;57,0
127;1692966297,801689;0,04191;634;0,01;5;6;6;24,8;57,0
128;1692966297,901955;0,037017;634;0,01;5;6;6;24,8;57,0
129;1692966298,002251;0,048507;634;0,01;5;6;6;24,8;57,0
130;1692966298,102574;0,043733;634;0,01;5;6;6;24,8;57,0
131;1692966298,202929;0,03915;634;0,01;5;6;6;24,8;57,0
132;1692966298,303275;0,0502;634;0,01;5;6;6;24,8;57,0
133;1692966298,403564;0,045777;634;0,01;5;6;6;24,8;57,0
134;1692966298,503842;0,040958;634;0,01;5;6;6;24,8;57,0
135;1692966298,604156;0,036403;634;0,01;5;6;6;24,8;57,0
136;1692966298,704475;0,047671;634;0,01;5;6;6;24,8;57,0
137;1692966298,804703;0,042963;634;0,01;5;6;6;24,8;57,0
138;1692966298,905045;0,038122;634;0,01;5;6;6;24,8;57,0
139;1692966299,005344;0,049468;634;0,01;5;6;6;24,8;57,0
140;1692966299,105622;0,045973;634;0,01;5;6;6;24,8;57,0
141;1692966299,205897;0,040102;634;0,01;5;6;6;24,8;57,0
142;1692966299,306214;0,036169;634;0,01;5;6;6;24,8;57,0
143;1692966299,406645;0,046587;634;0,01;5;6;6;24,8;57,0
144;1692966299,506898;0,041933;634;0,01;5;6;6;24,8;57,0
145;1692966299,607188;0,037231;634;0,01;5;6;6;24,8;57,0
146;1692966299,707524;0,048429;634;0,01;5;6;6;24,8;57,0
147;1692966299,807771;0,04397;634;0,01;5;6;6;24,8;57,0
148;1692966299,908099;0,039195;634;0,01;5;6;6;24,8;57,0
149;1692966300,008367;0,050506;634;0,01;5;6;6;24,8;57,0
150;1692966300,108751;0,045594;634;0,01;5;6;6;24,8;57,0
151;1692966300,209152;0,040961;634;0,01;5;6;6;24,8;57,0
152;1692966300,309389;0,036387;634;0,01;5;6;6;24,8;57,0
153;1692966300,409718;0,05113;634;0,01;5;6;6;24,8;57,0
154;1692966300,509965;0,042946;634;0,01;5;6;6;24,8;57,0
155;1692966300,610623;0,037762;634;0,01;5;6;6;24,8;57,0
156;1692966300,71089;0,049168;635;0,01;5;6;6;24,8;57,0
157;1692966300,811176;0,044416;635;0,01;5;6;6;24,8;57,0
158;1692966300,91148;0,039834;635;0,01;5;6;6;24,8;57,0
159;1692966301,01173;0,035099;635;0,01;5;6;6;24,8;57,0
160;1692966301,112011;0,046469;635;0,01;5;6;6;24,8;57,0
161;1692966301,212269;0,04196;635;0,01;5;6;6;24,8;57,0
162;1692966301,312601;0,037214;635;0,01;5;6;6;24,8;57,0
163;1692966301,412877;0,048876;635;0,01;5;6;6;24,8;57,0
164;1692966301,513168;0,044391;635;0,01;5;6;6;24,8;57,0
165;1692966301,613456;0,039066;635;0,01;5;6;6;24,8;57,0
166;1692966301,713706;0,050492;635;0,01;5;6;6;24,8;57,0
167;1692966301,8143;0,045344;635;0,01;5;6;6;24,8;57,0
168;1692966301,914456;0,040942;635;0,01;5;6;6;24,8;57,0
169;1692966302,014822;0,036068;635;0,01;5;6;6;24,8;57,0
170;1692966302,115076;0,047514;635;0,01;5;6;6;24,8;57,0
171;1692966302,215337;0,043421;635;0,01;5;6;6;24,8;57,0
172;1692966302,315695;0,038144;635;0,01;5;6;6;24,8;57,0
173;1692966302,415934;0,049537;635;0,01;5;6;6;24,8;57,0
174;1692966302,517116;0,043918;635;0,01;5;6;6;24,8;57,0
175;1692966302,617412;0,039255;635;0,01;5;6;6;24,8;57,0
176;1692966302,718415;0,049848;635;0,01;5;6;6;24,8;57,0
177;1692966302,818468;0,045265;635;0,01;5;6;6;24,8;57,0
178;1692966302,918805;0,040712;635;0,01;5;6;6;24,8;57,0
179;1692966303,01908;0,035981;635;0,01;5;6;6;24,8;57,0
180;1692966303,119421;0,047174;635;0,01;5;6;6;24,8;57,0
181;1692966303,219711;0,04256;635;0,01;5;6;6;24,8;57,0
182;1692966303,320037;0,037884;635;0,01;5;6;6;24,8;57,0
183;1692966303,420286;0,049264;635;0,01;5;6;6;24,8;57,0
184;1692966303,520656;0,044446;635;0,01;5;6;6;24,8;57,0
185;1692966303,620937;0,03989;635;0,01;5;6;6;24,8;57,0
186;1692966303,721325;0,034936;635;0,01;5;6;6;24,8;57,0
187;1692966303,82159;0,046313;635;0,01;5;6;6;24,8;57,0
